company,date,freq,when,Company Name,Bankruptcy_Year,UserID,Followers,Following,before_start,before_end,after_start,after_end,Date of Bankruptcy,Company Sector,comments,Public/Private Supporting URLs,number
A123Systems,03/10/2012,3,before,A123 Systems,2012,51450323,1844,185,15/09/2012,15/10/2012,16/10/2012,15/11/2012,"October 16, 2012",Energy,NA,https://en.wikipedia.org/wiki/A123_Systems,-13
A123Systems,17/09/2012,3,before,A123 Systems,2012,51450323,1844,185,15/09/2012,15/10/2012,16/10/2012,15/11/2012,"October 16, 2012",Energy,NA,https://en.wikipedia.org/wiki/A123_Systems,-29
A123Systems,18/09/2012,3,before,A123 Systems,2012,51450323,1844,185,15/09/2012,15/10/2012,16/10/2012,15/11/2012,"October 16, 2012",Energy,NA,https://en.wikipedia.org/wiki/A123_Systems,-28
A123Systems,21/09/2012,3,before,A123 Systems,2012,51450323,1844,185,15/09/2012,15/10/2012,16/10/2012,15/11/2012,"October 16, 2012",Energy,NA,https://en.wikipedia.org/wiki/A123_Systems,-25
A123Systems,25/09/2012,6,before,A123 Systems,2012,51450323,1844,185,15/09/2012,15/10/2012,16/10/2012,15/11/2012,"October 16, 2012",Energy,NA,https://en.wikipedia.org/wiki/A123_Systems,-21
A123Systems,26/09/2012,5,before,A123 Systems,2012,51450323,1844,185,15/09/2012,15/10/2012,16/10/2012,15/11/2012,"October 16, 2012",Energy,NA,https://en.wikipedia.org/wiki/A123_Systems,-20
A123Systems,27/09/2012,2,before,A123 Systems,2012,51450323,1844,185,15/09/2012,15/10/2012,16/10/2012,15/11/2012,"October 16, 2012",Energy,NA,https://en.wikipedia.org/wiki/A123_Systems,-19
A123Systems,02/10/2012,6,before,A123 Systems,2012,51450323,1844,185,15/09/2012,15/10/2012,16/10/2012,15/11/2012,"October 16, 2012",Energy,NA,https://en.wikipedia.org/wiki/A123_Systems,-14
A123Systems,03/11/2012,1,after,A123 Systems,2012,51450323,1844,185,15/09/2012,15/10/2012,16/10/2012,15/11/2012,"October 16, 2012",Energy,NA,https://en.wikipedia.org/wiki/A123_Systems,18
A123Systems,06/10/2012,2,before,A123 Systems,2012,51450323,1844,185,15/09/2012,15/10/2012,16/10/2012,15/11/2012,"October 16, 2012",Energy,NA,https://en.wikipedia.org/wiki/A123_Systems,-10
